Ноябрь 1988,425.500000
Октябрь 1988,411.000000
Сентябрь 1988,396.150000
Август 1988,430.300000
Июль 1988,436.400000
Июнь 1988,436.500000
Май 1988,457.000000
Апрель 1988,449.750000
Март 1988,458.000000
Февраль 1988,429.150000
Январь 1988,454.650000
Декабрь 1989,401.000000
Ноябрь 1989,414.150000
Октябрь 1989,373.600000
Сентябрь 1989,369.000000
Август 1989,358.250000
Июль 1989,369.950000
Июнь 1989,371.150000
Май 1989,360.800000
Апрель 1989,381.300000
Март 1989,382.300000
Февраль 1989,386.100000
Январь 1989,392.000000
Декабрь 1990,391.000000
Ноябрь 1990,384.800000
Октябрь 1990,380.100000
Сентябрь 1990,400.000000
Август 1990,388.100000
Июль 1990,371.100000
Июнь 1990,352.400000
Май 1990,363.100000
Апрель 1990,368.950000
Март 1990,372.200000
Февраль 1990,406.250000
Январь 1990,413.250000
Декабрь 1991,353.400000
Ноябрь 1991,366.850000
Октябрь 1991,357.500000
Сентябрь 1991,353.000000
Август 1991,347.000000
Июль 1991,364.300000
Июнь 1991,368.650000
Май 1991,361.550000
Апрель 1991,356.250000
Март 1991,354.000000
Февраль 1991,367.450000
Январь 1991,367.950000
Декабрь 1992,332.900000
Ноябрь 1992,334.600000
Октябрь 1992,338.800000
Сентябрь 1992,347.600000
Август 1992,342.650000
Июль 1992,357.950000
Июнь 1992,343.600000
Май 1992,336.800000
Апрель 1992,337.100000
Март 1992,343.750000
Февраль 1992,353.050000
Январь 1992,354.150000
Декабрь 1993,390.650000
Ноябрь 1993,370.100000
Октябрь 1993,367.950000
Сентябрь 1993,353.900000
Август 1993,371.800000
Июль 1993,403.700000
Июнь 1993,377.850000
Май 1993,378.250000
Апрель 1993,353.450000
Март 1993,337.000000
Февраль 1993,328.400000
Январь 1993,329.500000
Декабрь 1994,382.500000
Ноябрь 1994,381.200000
Октябрь 1994,383.450000
Сентябрь 1994,395.350000
Август 1994,386.000000
Июль 1994,384.000000
Июнь 1994,386.800000
Май 1994,387.250000
Апрель 1994,376.450000
Март 1994,389.700000
Февраль 1994,381.100000
Январь 1994,382.100000
Декабрь 1995,386.700000
Ноябрь 1995,387.150000
Октябрь 1995,382.500000
Сентябрь 1995,383.750000
Август 1995,381.800000
Июль 1995,381.750000
Июнь 1995,387.600000
Май 1995,383.200000
Апрель 1995,386.500000
Март 1995,386.550000
Февраль 1995,376.300000
Январь 1995,376.250000
Декабрь 1996,369.550000
Ноябрь 1996,371.900000
Октябрь 1996,377.200000
Сентябрь 1996,377.050000
Август 1996,387.250000
Июль 1996,386.650000
Июнь 1996,380.600000
Май 1996,390.550000
Апрель 1996,391.000000
Март 1996,395.000000
Февраль 1996,400.300000
Январь 1996,406.600000
Декабрь 1997,289.200000
Ноябрь 1997,293.350000
Октябрь 1997,310.400000
Сентябрь 1997,336.800000
Август 1997,324.400000
Июль 1997,325.300000
Июнь 1997,333.600000
Май 1997,345.750000
Апрель 1997,339.550000
Март 1997,349.850000
Февраль 1997,360.600000
Январь 1997,345.000000
Декабрь 1998,287.450000
Ноябрь 1998,293.350000
Октябрь 1998,293.100000
Сентябрь 1998,299.000000
Август 1998,277.700000
Июль 1998,289.400000
Июнь 1998,297.100000
Май 1998,292.350000
Апрель 1998,306.100000
Март 1998,301.600000
Февраль 1998,296.550000
Январь 1998,301.800000
Декабрь 1999,290.850000
Ноябрь 1999,291.400000
Октябрь 1999,293.850000
Сентябрь 1999,303.000000
Август 1999,255.450000
Июль 1999,256.750000
Июнь 1999,263.000000
Май 1999,265.500000
Апрель 1999,285.850000
Март 1999,280.500000
Февраль 1999,287.050000
Январь 1999,287.100000
Декабрь 2000,272.650000
Ноябрь 2000,271.200000
Октябрь 2000,266.000000
Сентябрь 2000,274.100000
Август 2000,276.600000
Июль 2000,277.300000
Июнь 2000,289.150000
Май 2000,272.800000
Апрель 2000,275.850000
Март 2000,275.900000
Февраль 2000,293.750000
Январь 2000,283.650000
Декабрь 2001,276.500000
Ноябрь 2001,274.700000
Октябрь 2001,279.450000
Сентябрь 2001,291.650000
Август 2001,275.350000
Июль 2001,267.700000
Июнь 2001,269.900000
Май 2001,265.650000
Апрель 2001,263.800000
Март 2001,259.050000
Февраль 2001,266.700000
Январь 2001,266.850000
Декабрь 2002,342.750000
Ноябрь 2002,318.250000
Октябрь 2002,318.750000
Сентябрь 2002,322.600000
Август 2002,312.400000
Июль 2002,300.650000
Июнь 2002,312.300000
Май 2002,327.250000
Апрель 2002,308.300000
Март 2002,303.000000
Февраль 2002,295.800000
Январь 2002,282.000000
Декабрь 2003,417.250000
Ноябрь 2003,398.750000
Октябрь 2003,384.600000
Сентябрь 2003,385.000000
Август 2003,376.350000
Июль 2003,353.050000
Июнь 2003,348.550000
Май 2003,365.800000
Апрель 2003,338.950000
Март 2003,335.650000
Февраль 2003,347.650000
Январь 2003,370.350000
Декабрь 2004,438.000000
Ноябрь 2004,451.100000
Октябрь 2004,428.100000
Сентябрь 2004,418.150000
Август 2004,408.000000
Июль 2004,389.600000
Июнь 2004,394.500000
Май 2004,395.850000
Апрель 2004,387.300000
Март 2004,425.300000
Февраль 2004,398.500000
Январь 2004,401.300000
Декабрь 2005,513.000000
Ноябрь 2005,494.400000
Октябрь 2005,465.550000
